Dataset,Scenario,TechniqueType,% Traced,IndirectAggregation,ScalingMethod,NLP,Technique,PathAggregation,AUC,Credibility,LagGlobal,MAP
EasyClinic,NONETRACED,Indirect,0.0,RFSMOTE,SINGLE,VSM,NONETRACED_RFSMOTE_SINGLE_VSM,NA,0.5751133786848073,0.7226190476190476,2.3253968253968256,0.3643323996265173
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFSMOTE,MULTI,LSA,UPPERTRACED_RFSMOTE_MULTI_LSA,NA,0.5731292517006803,0.4928571428571429,2.333333333333333,0.33539766970618035
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFSMOTE,MULTI,VSM,UPPERTRACED_RFSMOTE_MULTI_VSM,NA,0.5700113378684808,0.4773809523809524,2.333333333333333,0.33350119517632204
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFUNDER,RAW,LSA,UPPERTRACED_RFUNDER_RAW_LSA,NA,0.5620748299319728,0.4345238095238095,2.3293650793650795,0.32892482330263434
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFUNDER,MULTI,VSM,UPPERTRACED_RFUNDER_MULTI_VSM,NA,0.5561224489795917,0.3976190476190476,2.333333333333333,0.3256909303230829
EasyClinic,NONETRACED,Indirect,0.0,RFNONE,SINGLE,VSM,NONETRACED_RFNONE_SINGLE_VSM,NA,0.5436507936507936,0.7261904761904762,2.3253968253968256,0.3611111111111111
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFUNDER,RAW,VSM,UPPERTRACED_RFUNDER_RAW_VSM,NA,0.5396825396825397,0.4047619047619048,2.3095238095238093,0.3177938808373591
EasyClinic,NONETRACED,Indirect,0.0,RFNONE,MULTI,VSM,NONETRACED_RFNONE_MULTI_VSM,NA,0.5357142857142857,0.7214285714285714,2.3293650793650795,0.35
EasyClinic,NONETRACED,Indirect,0.0,RFSMOTE,RAW,LSA,NONETRACED_RFSMOTE_RAW_LSA,NA,0.530328798185941,0.705952380952381,2.3214285714285716,0.32381920247773904
EasyClinic,NONETRACED,Indirect,0.0,RFSMOTE,RAW,VSM,NONETRACED_RFSMOTE_RAW_VSM,NA,0.5289115646258504,0.7023809523809523,2.3253968253968256,0.3211180124223602
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFSMOTE,RAW,LSA,LOWERTRACED_RFSMOTE_RAW_LSA,NA,0.5277777777777778,0.7166666666666667,2.3293650793650795,0.3388888888888889
EasyClinic,NONETRACED,Indirect,0.0,RFNONE,SINGLE,LSA,NONETRACED_RFNONE_SINGLE_LSA,NA,0.5198412698412699,0.7119047619047619,2.3293650793650795,0.3277777777777777
EasyClinic,NONETRACED,Indirect,0.0,RFSMOTE,MULTI,LSA,NONETRACED_RFSMOTE_MULTI_LSA,NA,0.5099206349206349,0.6583333333333333,2.3293650793650795,0.30462962962962964
EasyClinic,NONETRACED,Indirect,0.0,RFSMOTE,MULTI,VSM,NONETRACED_RFSMOTE_MULTI_VSM,NA,0.5048185941043084,0.655952380952381,2.3293650793650795,0.30213735659280216
EasyClinic,NONETRACED,Indirect,0.0,RFNONE,RAW,LSA,NONETRACED_RFNONE_RAW_LSA,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFSMOTE,RAW,VSM,LOWERTRACED_RFSMOTE_RAW_VSM,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFUNDER,RAW,LSA,LOWERTRACED_RFUNDER_RAW_LSA,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,ALLTRACED,Indirect,100.0,MEDIAN,RAW,LSA,ALLTRACED_MEDIAN_RAW_LSA,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFNONE,RAW,LSA,LOWERTRACED_RFNONE_RAW_LSA,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MEDIAN,SINGLE,VSM,LOWERTRACED_MEDIAN_SINGLE_VSM,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFUNDER,RAW,VSM,LOWERTRACED_RFUNDER_RAW_VSM,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,NONETRACED,Indirect,0.0,RFNONE,RAW,VSM,NONETRACED_RFNONE_RAW_VSM,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,RFNONE,RAW,VSM,LOWERTRACED_RFNONE_RAW_VSM,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MEDIAN,RAW,VSM,LOWERTRACED_MEDIAN_RAW_VSM,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MEDIAN,RAW,LSA,LOWERTRACED_MEDIAN_RAW_LSA,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,ALLTRACED,Indirect,100.0,MEDIAN,SINGLE,LSA,ALLTRACED_MEDIAN_SINGLE_LSA,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MEDIAN,MULTI,LSA,UPPERTRACED_MEDIAN_MULTI_LSA,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,ALLTRACED,Indirect,100.0,MEDIAN,SINGLE,VSM,ALLTRACED_MEDIAN_SINGLE_VSM,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,LOWERTRACED,Indirect,0.4827586206896552,MEDIAN,SINGLE,LSA,LOWERTRACED_MEDIAN_SINGLE_LSA,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,ALLTRACED,Indirect,100.0,MEDIAN,MULTI,LSA,ALLTRACED_MEDIAN_MULTI_LSA,NA,0.5,0.7,2.3134920634920637,0.3
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,MEDIAN,RAW,LSA,UPPERTRACED_MEDIAN_RAW_LSA,NA,0.5,0.7,2.3134920634920637,0.3
